pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar
Qual é o nome do supercomputador da IBM que derrotou o enxadrista Garry Kasparov em maio de 1997?;4;Deep Blue;Deep Red;Deep Black;Deep White;N
O granito é uma rocha de que tipo?;3;Ígnea;Metamórfica;Sedimentar;-;N
Como se chama uma estátua de pedra de um leão com cabeça de humano?;3;Esfinge;Grifo;Centauro;-;N
"Qual estado brasileiro tem o nome, no tupi-guarani, o significado de ""semelhante ao mar""?";3;Paraná;Paraíba;Pará;-;N
O que é medido a partir do Meridiano de Greenwich?;3;Longitude;Latitude;Graus;-;N
Aproximadamente quantas espécies de tartaruga existem no mundo?;3;300;200;100;-;N
Qual é o período da literatura brasileira que se estende do século XVII até pouco depois da metade do século XVIII?;3;Barroco;Arcadismo;Romantismo;-;N
"Quem dirigiu o filme ""Avatar""?";3;James Cameron;Steven Spielberg;Quentin Tarantino;-;N
Qual pedal o instrutor não tem no veículo de treinamento?;3;Aceleração;Freio;Embreagem;-;N
Qual é a grafia correta do exame utilizado para analisar a saúde do interior do cólon e do reto?;4;Colonoscopia;Colunoscopia;Colonooscopia;Colunooscopia;N
Qual é o número do carro da Penélope Charmosa na Corrida Maluca?;4;5;9;3;7;N
"Qual animal foi símbolo das Olímpiadas de Moscou e ficou eternizado ao ""chorar"" na cerimônia de encerramento?";3;Urso;Águia;Lobo;-;N
Um motorista habilitado para dirigir motos possui qual categoria na sua CNH?;4;A;B;D;E;1243
Qual é a capital da Turquia?;3;Ancara;Istambul;Esmirna;-;N
Para qual time europeu Neymar Júnior se transferiu após ser vendido pelo Santos?;3;Barcelona;Paris Saint-Germain;Chelsea;-;N
Paraguai, Chile, Equador. Com qual destes países o Brasil faz fronteira?;5;A;Paraguai;Paraguai;Paraguai;N
Na mitologia grega, como se chama a esposa de Orfeu?;3;Eurídice;Euterpe;Calíope;-;N
"Qual movimento político tem seu nome originário do latim, significando ""varas""?";3;Fascismo;Liberalismo;Anarquismo;-;N
Em que casa começa o rei negro no tabuleiro de xadrez?;4;e8;d8;e1;d1;N
Quanto tempo durou a guerra do Yom Kippur, disputada por Israel contra Egito e Síria?;4;20 dias;6 dias;15 dias;2 meses;N
"Qual ator contracena com Sylvester Stallone no filme ""Creed: Nascido para Lutar""?";3;Michael B. Jordan;Chadwick Boseman;Idris Elba;-;N
Qual destas unidades federativas se separou do estado de Goiás, e foi criada na Constituição de 1988?;3;Tocantins;Rondônia;Mato Grosso do Sul;-;N
"O que significa ""admoestar""?";3;Advertir;Abdicar;Castigar;-;N
