pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar
Como é conhecida a gordura animal, principalmente do porco?;3;Banha;Toucinho;Lipídio;-;N
Qual a primeira profissão do ator Sean Connery antes da fama?;3;Leiteiro;Padeiro;Motorista;-;N
Qual é a idade do piloto Rubens Barrichello?;3;52;51;49;-;N
"Pedro, da dupla ""Pedro & Thiago"", é filho de qual cantor?";3;Leonardo;Chitãozinho;Leandro;-;N
"Na novela ""O Rei do Gado"" quem interpretava ""Geremias Berdinazzi""?";3;Raul Cortez;Stênio Garcia;Antônio Fagundes;-;N
"Que tipo de peixe é Nemo, personagem principal do filme ""Procurando Nemo""?";3;Peixe-palhaço;Cirurgião-patela;Peixe-dourado;-;N
"Sua interpretaçã mais famosa é a música ""Conceição"":";3;Cauby Peixoto;Dorival Caymmi;Agnaldo Timóteo;-;N
O tifo é uma doença transmitida por qual agente?;3;Carrapato;Mosquito;Porco;-;N
Como é chamada a mansão onde Elvis Presley viveu?;3;Graceland;Wonderland;Neverland;-;N
Em qual time de futebol juvenil jogou o arquiteto Oscar Niemeyer?;4;Fluminense;Flamengo;Palmeiras;Corinthians;N
Tambor de Crioula é uma dança típica de qual estado?;4;Maranhão;Bahia;Pernambuco;Amazonas;N
Quem era o camisa 7 da Seleção Brasileira na Copa do Mundo de 1970?;4;Jairzinho;Gérson;Rivelino;Tostão;N
Qual o nome do terceiro romance escrito por Chico Buarque?;4;Budapeste;Geni;Benjamim;Estorvo;N
Qual desses monumentos é o mais alto?;4;Torre Eiffel;Torre de Pisa;Pirâmide do Egito;Big Ben;N
Medicina, Engenharia ou Direito. Saddam Hussein fez faculdade de quê?;5;C;-;-;-;N
Francês, Espanhol ou Inglês. Qual é a língua oficial da Nova Zelândia?;5;C;-;-;-;N
Solo, Ária ou Capela. Qual o nome de uma peça musica feita para uma voz só?;5;B;-;-;-;N
"O personagem do ""Dr. David Banner"" fez parte de qual seriado de TV?";3;O Incrível Hulk;Homem Invisível;Cyborgue;-;N
Como é chamada a descida de rios em botes infláveis?;3;Rafting;Bungee Jump;Rapel;-;N
Qual é o nome dos produtos agrícolas geneticamente modificados?;3;Transgênicos;Congênitos;Primogênitos;-;N
Quem foi o criador do Teleton?;3;Jerry Lewis;Silvio Santos;Dom Francisco;-;N
Quem esboçou pela primeira vez um tanque de guerra?;3;Leonardo da Vinci;Michelângelo;Adolf Hitler;-;N
Quantas cordas tem um violino?;3;4;6;8;-;N
Qual foi o vencedor do Oscar 2003 na categoria melhor filme?;3;Chicago;As Horas;O Pianista;-;N
Baby do Brasil, Pepeu Gomes, Moraes Moreira, Paulinho Boca de Cantor e Luiz Galvão formaram qual grupo nos anos 70?;4;Novos Baianos;A Cor do Som;Tropicália;Mutantes;N
Qual o nome do 1º líquido que o recém-nascido mama direto do seio da mãe?;4;Colostro;Soro;Leite;Água;N
"Que ator imortalizou o personagem ""Dr. Jivago"" no cinema?";4;Omar Sharif;Laurence Olivier;Marlon Brando;Charlton Heston;N
"No desenho animado que animal era o personagem ""Touché""?";4;Tartaruga;Coelho;Cachorro;Urso;N
Com quantos anos morreu a cantora Elis Regina?;4;36 anos;38 anos;34 anos;37 anos;N
"Qual jogador era chamado de ""O Reizinho do Parque""?";4;Rivelino;Zé Maria;Geraldão;Marcelinho Carioca;N
"Os ""flaps"" estão relacionados à qual parte do avião?";4;Asas;Cabine;Trem de pouso;Turbinas;N
"O ""Leboyer"" é um tipo de quê?";4;Parto;Raça Bovina;Bebida;Relaxamento;N
"Na novela ""Tieta"", qual atriz interpretava a personagem ""Perpétua?";4;Joana Fomm;Betty Faria;Arlete Salles;Sônia Braga;N
3 de maio, 7 de julho, 8 de janeiro. Qual o dia do aniversário de Elvis Presley?;5;C;-;-;-;N
"José Saramago, José de Alencar ou José Lins do Rego. Quem escreveu o livro ""Riacho Doce""?";5;C;-;-;-;N
"Elizabeth I, Vitória, Maria I. Que rainha da Inglaterra ficou conhecida como a ""Rainha Virgem""?";5;A;-;-;-;N
Robert Redford, Paul Newman, Warren Beatty. Quem é o irmão mais novo da atriz Shirley MacLaine?;5;C;-;-;-;N
Paris e Londres, Istambul e Paris, Londres e Istanbul. Quais cidades são ligadas pelo Expresso Oriente?;5;B;-;-;-;N
18, 21, 24. Pela lei brasileira, qual é a idade mínima para se adotar uma criança?;5;A;-;-;-;N
Cairota, Cairense, Cairiano. Qual é o gentílico de quem nasce ou vive no Cairo?;5;A;-;-;-;N
29, 31, 35. Com quantos anos morreu o ator Rodolfo Valentino?;5;B;-;-;-;N
"O personagem ""Zeca Urubu"" faz parte de qual desenho?";3;Pica-Pau;Scooby-Doo;Speed Racer;-;N
Qual atriz iniciou carreira no cinema participando da refilmagem de King Kong em 1976?;3;Jessica Lange;Ava Gardner;Rita Hayworth;-;N
"Qual é o nome do Ministro da Fazenda que lançou o ""Plano Cruzado 1""?";3;Dilson Funaro;Zélia Cardoso;Francisco Dornelles;-;N
Qual destes livros não foi escrito por Jorge Amado?;3;Iracema;Mar Morto;Tieta do Agreste;-;N
Em que filme Tom Hanks ganhou seu primeiro Oscar?;3;Filadélfia;Forrest Gump;Apollo 13;-;N
O cantor Ricky Martin fez parte de qual grupo?;3;Menudos;Dominó;Tremendo;-;N
O camembert é um tipo de quê?;3;Queijo;Vinho;Molho;-;N
Qual aparelho é usado para a medição dos terremotos?;3;Sismógrafo;Barógrafo;Geoscópio;-;N
O Cirque du Soleil teve origem em qual país?;4;Canadá;França;Suíça;Austrália;N
Qual foi o primeiro sucesso de Adoniran Barbosa?;4;Saudosa Maloca;Trem das Onze;Iracema;Tiro ao Álvaro;N
"Qual cantora era chamada de ""Musa da Bossa Nova""?";4;Nara Leão;Elis Regina;Maysa;Nana Caymmi;N
Qual era a nacionalidade do ator Bruce Lee?;4;Americana;Chinesa;Tailandesa;Coreana;N
