pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar;Unnamed: 7
Em que ilha João estava quando recebeu a revelação do do Apocalipse?;3;Ilha de Patmos;Ilha de Creta;Ilha de Malta;-;N;
De que cidade vinha Simão, o homem que carregou a cruz de Jesus Cristo até o Gólgota?;3;Cirene;Creta;Éfeso;-;N;
Qual destes países não está na janela 10-40?;3;Angola;Turquia;Vietnã;-;N;
Qual profeta tinha como alimentos gafanhoto e mel silvestre?;3;João Batista;Elias;Sofonias;-;N;
Em que universidade ocorreu um avivamento a partir de um culto que durou 16 dias?;3;Universidade de Asbury;Faculdade dos Ozarks;Pepperdine University;-;N;
Na Bíblia Sagrada, em qual destes sonhos José interpretou que a pessoa acabaria enforcada?;3;Sonho do padeiro-chefe;Sonho do copeiro-chefe;Sonho de Potifar;-;N;
Na Bíblia Sagrada, Jonas fugiu de Deus porque não queria viajar até qual cidade?;3;Nínive;Társis;Tiro;-;N;
Na Bíblia Sagrada, quem é o filho de Ana?;3;Samuel;Zacarias;Ezequiel;-;N;
Segundo a Bíblia, onde Jesus Cristo foi batizado?;3;Rio Jordão;Mar Morto;Mar da Galileia;-;N;
Qual das seguintes religiões não é considerada abraâmica?;3;Hinduísmo;Islamismo;Judaísmo;-;N;
Por quantas moedas de prata Judas Escariotes traiu Jesus?;3;30;20;10;-;N;
Qual foi o primeiro milagre de Jesus?;3;Transformação;Multiplicação;Cura;-;N;
"Qual verbo significa ""cantar ou recitar salmos""?";3;Salmodiar;Salmoar;Salmoviar;-;N;
Qual é o menor livro da Bíblia?;3;II João;III João;Naum;-;N;
Qual das seguintes é a maior comunidade religiosa do Vaticano?;3;Católica Romana;Protestante;Muçulmana;-;N;
Qual era o nome da serpente de bronze que Moisés tinha feito?;3;Neustã;Aserã;Leviatã;-;N;
Segundo a Bíblia, qual ser humano teve a maior longevidade da história?;3;Matusalém;Noé;Abraão;-;N;
Em que período se costuma celebrar o Ano Novo Judaico, o Rosh Hashaná?;3;Setembro-Outubro;Janeiro-Fevereiro;Junho-Julho;-;N;
"A qual salmo Jesus se referia ao dizer ""Lamá Sabactani"", ou seja, ""Porque me desamparaste""?";3;Salmo 22;Salmo 119;Salmo 91;-;N;
Qual foi a primeira ave que Noé soltou depois do dilúvio?;3;Corvo;Pomba;Gaivota;-;N;
Em que ilha Paulo sofreu uma picada de cobra mas continuou vivo?;3;Malta;Chipre;Creta;-;N;
Em que país atualmente se localizam as cidades de Tiro e Sidom?;3;Líbano;Síria;Israel;-;N;
"Em que ano foi lançado o filme ""A Paixão de Cristo"", de Mel Gibson?";3;2004;2002;2005;-;N;
Qual juiz de Israel pediu ao seu escudeiro que o matasse, para que não dissessem que uma mulher o matou?;3;Abimeleque;Jair;Jefté;-;N;
Em que batalha foi morto o rei Saul?;3;Gilboa;Ziclague;Betfagé;-;N;
Qual rei foi marido de Ester?;3;Xerxes;Dario;Nabucodonosor;-;N;
Qual destes países tem seu hino nacional com a mesma melodia de um hino da Harpa Cristã?;3;Fiji;País de Gales;Estados Unidos;-;N;
Por 30 moedas de prata, os sacerdotes compraram o Campo do Oleiro. No que aquilo se tornou?;3;Cemitério de estrangeiros;Plantação;Cova de leões;-;N;
Em que catedral Martinho Lutero pregou as 95 Teses?;3;Wittenberg;Dresden;Bremen;-;N;
Qual destas personagens de The Chosen é interpretada por uma atriz brasileira?;3;Éden, mulher de Pedro;Maria Madalena;Tamar, a Etíope;-;N;
De acordo com Gênesis, qual foi a primeira ação tomada por Adão depois ser expulso do Éden?;3;Juntou-se a Eva;Ofereceu sacríficios;Trabalhou na terra;-;N;
Qual foi a duração do reinado de Davi?;3;40 anos;27 anos;30 anos;-;N;
Qual rei de Judá ficou leproso?;3;Uzias;Josafá;Josias;-;N;
Que salmo da bíblia sagrada é utilizado pelo diabo para tentar Jesus Cristo no deserto?;3;91;20;133;-;N;-
Em Gênesis, até qual número Abraão conseguiu reduzir os justos necessários para salvar Sodoma?;3;10 justos;20 justos;5 justos;-;N;
Qual profeta profetizou que Jesus chegaria em Jerusalém montando em um jumento?;3;Zacarias;Joel;Habacuque;-;N;
Qual é o nome do pai de Moisés?;3;Anrão;Jetro;Gérson;-;N;
Qual era a tribo de Josué?;4;Efraim;Naftali;Gade;Zebulom;N;
Qual carta de João é direcionada a uma mulher?;3;II João;I João;III João;-;213;
Quem cortou os cabelos do herói bíblico Sansão, tirando dele seu gigantesco poder?;4;Dalila;Salomé;Judite;Ester;N;
Qual dos seguintes países não é banhado pelo Mar Vermelho?;4;Síria;Israel;Arábia Saudita;Iêmen;N;
Qual é a última letra do alfabeto hebraico?;4;Tav;Shin;Vav;Yom;N;
Em que evangelho da Bíblia encontramos a Parábola do Bom Samaritano?;4;Lucas;Mateus;Marcos;João;N;
Segundo a Bíblia, em que dia Deus criou o homem?;4;6º dia;7º dia;5º dia;4º dia;N;
Qual foi a última epístola escrita por Paulo?;4;II Timóteo;II Tessalonicenses;Colossenses;Filipenses;N;
Qual ator faz o papel de Jesus na série The Chosen?;4;Jonathan Roumie;Paras Patel;Shahar Isaac;Noah James;N;
Segundo a Bíblia, quantas concubinas tinha o rei Salomão?;4;300;400;500;600;N;
"Na Bíblia Sagrada, o que significa o termo ""publicano""?";4;Coletor de impostos;Fariseu;Filho pródigo;Mendigo;N;
Quantos livros, no total, possui a Bíblia Sagrada?;4;66 livros;62 livros;71 livros;58 livros;N;
Nas epístolas paulinas, Paulo direciona cartas para estas cidades, mas só uma está na Grécia. Qual?;4;Corinto;Éfeso;Galácia;Colossas;N;
A península do Sinai pertence a qual país?;4;Egito;Israel;Líbia;Iraque;N;
Em que monte Elias pôs a prova os profetas de Baal contra o Deus de Israel?;4;Monte Carmelo;Monte Sinai;Monte Horebe;Monte Ararate;N;
Quantos filhos teve Jó no total, contando antes e depois da provação?;4;20 filhos;10 filhos;15 filhos;5 filhos;N;
Após a tragédia de Caim matar Abel, Adão e Eva tiveram outro filho. Qual é o nome dele?;4;Sete;Enos;Noé;Enoque;N;
O Monte Ararate, que segundo a Bíblia, é onde ficou a Arca de Noé, está localizado na fronteira entre quais países?;4;Turquia e Armênia;Iraque e Arábia Saudita;Israel e Egito;Turquia e Síria;N;
Em qual destes mares é impossível se afogar?;4;Mar Morto;Mar da Galileia;Mar Cáspio;Mar Negro;N;
O Pentecostes é celebrado quantos dias após o domingo de Páscoa?;4;50 dias;30 dias;45 dias;15 dias;N;
